零件名称,零件等级（ABC）,零件重量KG,单车用量,零件尺寸L,零件尺寸W,零件尺寸H,来料SNP,来料包装L,来料包装W,来料包装H,零件分类
六角法兰面螺栓,/,/,2.0,/,/,/,/,/,/,/,/
六角法兰面螺栓,/,/,4.0,/,/,/,/,/,/,/,/
六角法兰面螺母,/,/,11.0,/,/,/,/,/,/,/,/
六角法兰面螺母,/,/,2.0,/,/,/,/,/,/,/,/
六角法兰面承面带齿锁紧螺母,/,/,2.0,/,/,/,/,/,/,/,/
十字槽六角头法兰面螺栓,/,/,26.0,/,/,/,/,/,/,/,/
搭铁螺栓,/,/,5.0,/,/,/,/,/,/,/,/
内六角花形盘头自攻螺钉,/,/,6.0,/,/,/,/,/,/,/,/
内六角花形自攻螺钉,/,/,71.0,/,/,/,/,/,/,/,/
开口型平圆头抽芯铆钉,/,/,2.0,/,/,/,/,/,/,/,/
十字槽盘头自攻螺钉-F型,/,/,2.0,/,/,/,/,/,/,/,/
十字槽大半圆头自攻螺钉-C型,/,/,2.0,/,/,/,/,/,/,/,/
十字槽大半圆头自攻螺钉-C型,/,/,2.0,/,/,/,/,/,/,/,/
左前转向节总成,/,/,1.0,/,/,/,/,/,/,/,/
右前转向节总成,/,/,1.0,/,/,/,/,/,/,/,/
轮毂轴承密封圈,/,/,2.0,/,/,/,/,/,/,/,/
轮毂轴承总成,/,/,2.0,/,/,/,/,/,/,/,/
前制动盘,/,/,2.0,/,/,/,/,/,/,/,/
左前制动钳总成,/,/,1.0,/,/,/,/,/,/,/,/
右前制动钳总成,/,/,1.0,/,/,/,/,/,/,/,/
制动盘安装螺钉,/,/,4.0,/,/,/,/,/,/,/,/
支架螺栓,/,/,4.0,/,/,/,/,/,/,/,/
转向节螺栓,/,/,8.0,/,/,/,/,/,/,/,/
右前地板总成,/,/,1.0,/,/,/,/,/,/,/,/
前地板梁架总成,/,/,1.0,/,/,/,/,/,/,/,/
左前地板总成,/,/,1.0,/,/,/,/,/,/,/,/
后地板后横梁总成,/,/,1.0,/,/,/,/,/,/,/,/
后承载地板总成,/,/,1.0,/,/,/,/,/,/,/,/
左后纵梁总成,/,/,1.0,/,/,/,/,/,/,/,/
后地板前横梁下板总成,/,/,1.0,/,/,/,/,/,/,/,/
后地板分总成,/,/,1.0,/,/,/,/,/,/,/,/
后地板中横梁总成,/,/,1.0,/,/,/,/,/,/,/,/
右后纵梁总成,/,/,1.0,/,/,/,/,/,/,/,/
左侧围外板连接板支撑板总成,/,/,1.0,/,/,/,/,/,/,/,/
A柱骨架上加强板外空腔隔断,/,/,1.0,/,/,/,/,/,/,/,/
后支柱内板角板下部外空腔隔断,/,/,1.0,/,/,/,/,/,/,/,/
左D柱加强板上段内空腔隔断,/,/,1.0,/,/,/,/,/,/,/,/
左D柱加强板上段外空腔隔断,/,/,1.0,/,/,/,/,/,/,/,/
后支柱内板下板内空腔隔断,/,/,1.0,/,/,/,/,/,/,/,/
后支柱内板下板外空腔隔断,/,/,1.0,/,/,/,/,/,/,/,/
B柱下加强板下部外空腔隔断,/,/,1.0,/,/,/,/,/,/,/,/
A柱骨架下加强板下部外空腔隔断,/,/,1.0,/,/,/,/,/,/,/,/
A柱后空腔隔断,/,/,2.0,/,/,/,/,/,/,/,/
车身补强板3,/,/,1.0,/,/,/,/,/,/,/,/
车身补强板4,/,/,1.0,/,/,/,/,/,/,/,/
车身补强板5,/,/,1.0,/,/,/,/,/,/,/,/
左D柱上结构增强件,/,/,1.0,/,/,/,/,/,/,/,/
左D柱下结构增强件,/,/,1.0,/,/,/,/,/,/,/,/
翼子板下安装支架组件,/,/,2.0,/,/,/,/,/,/,/,/
左侧后流水槽支架,/,/,1.0,/,/,/,/,/,/,/,/
左后轮罩外板下部总成,/,/,1.0,/,/,/,/,/,/,/,/
左D柱内板总成,/,/,1.0,/,/,/,/,/,/,/,/
左D柱加强板总成,/,/,1.0,/,/,/,/,/,/,/,/
左后轮罩外板后部,/,/,1.0,/,/,/,/,/,/,/,/
左后组合灯座板总成,/,/,1.0,/,/,/,/,/,/,/,/
左后支柱内板总成,/,/,1.0,/,/,/,/,/,/,/,/
左侧围外板连接板总成,/,/,1.0,/,/,/,/,/,/,/,/
左中滑轨安装板总成,/,/,1.0,/,/,/,/,/,/,/,/
左侧围外板连接板补板,/,/,1.0,/,/,/,/,/,/,/,/
左前翼子板后侧连接支架组件,/,/,1.0,/,/,/,/,/,/,/,/
左后轮罩外板上部总成,/,/,1.0,/,/,/,/,/,/,/,/
左前支柱总成,/,/,1.0,/,/,/,/,/,/,/,/
左后轮罩内板总成,/,/,1.0,/,/,/,/,/,/,/,/
六角法兰面螺栓,/,/,2.0,/,/,/,/,/,/,/,/
盲孔平头六角铆螺母,/,/,3.0,/,/,/,/,/,/,/,/
右侧围外板连接板支撑板总成,/,/,1.0,/,/,/,/,/,/,/,/
A柱骨架上加强板外空腔隔断,/,/,1.0,/,/,/,/,/,/,/,/
后支柱内板角板下部外空腔隔断,/,/,1.0,/,/,/,/,/,/,/,/
右D柱加强板上段内空腔隔断,/,/,1.0,/,/,/,/,/,/,/,/
右D柱加强板上段外空腔隔断,/,/,1.0,/,/,/,/,/,/,/,/
后支柱内板下板内空腔隔断,/,/,1.0,/,/,/,/,/,/,/,/
后支柱内板下板外空腔隔断,/,/,1.0,/,/,/,/,/,/,/,/
B柱下加强板下部外空腔隔断,/,/,1.0,/,/,/,/,/,/,/,/
A柱骨架下加强板下部外空腔隔断,/,/,1.0,/,/,/,/,/,/,/,/
A柱后空腔隔断,/,/,2.0,/,/,/,/,/,/,/,/
车身补强板3,/,/,1.0,/,/,/,/,/,/,/,/
车身补强板4,/,/,1.0,/,/,/,/,/,/,/,/
车身补强板5,/,/,1.0,/,/,/,/,/,/,/,/
右D柱上结构增强件,/,/,1.0,/,/,/,/,/,/,/,/
右D柱下结构增强件,/,/,1.0,/,/,/,/,/,/,/,/
翼子板下安装支架组件,/,/,2.0,/,/,/,/,/,/,/,/
右侧后流水槽支架,/,/,1.0,/,/,/,/,/,/,/,/
右D柱加强板总成,/,/,1.0,/,/,/,/,/,/,/,/
右后组合灯座板总成,/,/,1.0,/,/,/,/,/,/,/,/
右后支柱内板总成,/,/,1.0,/,/,/,/,/,/,/,/
右侧围外板连接板总成,/,/,1.0,/,/,/,/,/,/,/,/
右中滑轨安装板总成,/,/,1.0,/,/,/,/,/,/,/,/
右侧围外板连接板补板,/,/,1.0,/,/,/,/,/,/,/,/
右前翼子板后侧连接支架组件,/,/,1.0,/,/,/,/,/,/,/,/
右D柱内板总成,/,/,1.0,/,/,/,/,/,/,/,/
右后轮罩外板上部总成,/,/,1.0,/,/,/,/,/,/,/,/
右前支柱总成,/,/,1.0,/,/,/,/,/,/,/,/
右后轮罩外板后部总成,/,/,1.0,/,/,/,/,/,/,/,/
右后轮罩内板总成,/,/,1.0,/,/,/,/,/,/,/,/
右后轮罩外板下部总成,/,/,1.0,/,/,/,/,/,/,/,/
六角法兰面螺栓,/,/,1.0,/,/,/,/,/,/,/,/
盲孔平头六角铆螺母,/,/,3.0,/,/,/,/,/,/,/,/
发动机罩右铰链加强板总成,/,/,1.0,/,/,/,/,/,/,/,/
发动机罩左铰链加强板总成,/,/,1.0,/,/,/,/,/,/,/,/
发动机罩外板加强板,/,/,1.0,/,/,/,/,/,/,/,/
发动机罩锁加强板总成,/,/,1.0,/,/,/,/,/,/,/,/
背门锁安装板,/,/,1.0,/,/,/,/,/,/,/,/
背门中部加强板总成,/,/,1.0,/,/,/,/,/,/,/,/
背门雨刮电机安装板总成,/,/,1.0,/,/,/,/,/,/,/,/
背门左铰链加强板总成,/,/,1.0,/,/,/,/,/,/,/,/
背门右铰链加强板总成,/,/,1.0,/,/,/,/,/,/,/,/
背门左限位块加强板总成,/,/,2.0,/,/,/,/,/,/,/,/
背门左撑杆固定加强板总成,/,/,1.0,/,/,/,/,/,/,/,/
背门右撑杆固定加强板总成,/,/,1.0,/,/,/,/,/,/,/,/
膨胀胶片1,/,/,2.0,/,/,/,/,/,/,/,/
车身补强板4,/,/,2.0,/,/,/,/,/,/,/,/
六角平头铆螺母,/,/,6.0,/,/,/,/,/,/,/,/
平头六角铆螺母,/,/,3.0,/,/,/,/,/,/,/,/
前车门补强板,/,/,1.0,/,/,/,/,/,/,/,/
左前门锁加强板,/,/,1.0,/,/,/,/,/,/,/,/
左前门外板加强梁,/,/,1.0,/,/,/,/,/,/,/,/
左前门外板窗台加强梁总成,/,/,1.0,/,/,/,/,/,/,/,/
左前门侧上铰链加强板总成,/,/,1.0,/,/,/,/,/,/,/,/
左前门侧下铰链加强板总成,/,/,1.0,/,/,/,/,/,/,/,/
左前门侧限位器加强板,/,/,1.0,/,/,/,/,/,/,/,/
左前门上窗框导轨,/,/,1.0,/,/,/,/,/,/,/,/
左前门窗台加强梁总成,/,/,1.0,/,/,/,/,/,/,/,/
左前门防侧撞梁总成,/,/,1.0,/,/,/,/,/,/,/,/
左前门导轨总成,/,/,1.0,/,/,/,/,/,/,/,/
六角平头铆螺母,/,/,2.0,/,/,/,/,/,/,/,/
前车门补强板,/,/,1.0,/,/,/,/,/,/,/,/
右前门锁加强板,/,/,1.0,/,/,/,/,/,/,/,/
右前门外板加强梁,/,/,1.0,/,/,/,/,/,/,/,/
右前门外板窗台加强梁总成,/,/,1.0,/,/,/,/,/,/,/,/
右前门侧上铰链加强板总成,/,/,1.0,/,/,/,/,/,/,/,/
右前门侧下铰链加强板总成,/,/,1.0,/,/,/,/,/,/,/,/
右前门侧限位器加强板,/,/,1.0,/,/,/,/,/,/,/,/
右前门上窗框导轨,/,/,1.0,/,/,/,/,/,/,/,/
右前门窗台加强梁总成,/,/,1.0,/,/,/,/,/,/,/,/
右前门防侧撞梁总成,/,/,1.0,/,/,/,/,/,/,/,/
右前门导轨总成,/,/,1.0,/,/,/,/,/,/,/,/
六角平头铆螺母,/,/,2.0,/,/,/,/,/,/,/,/
左滑移门侧下铰链加强板带螺母板总成,/,/,1.0,/,/,/,/,/,/,/,/
左滑移门中铰链螺母板总成,/,/,1.0,/,/,/,/,/,/,/,/
左滑移门外板窗台加强梁,/,/,1.0,/,/,/,/,/,/,/,/
左滑移门外板加强梁,/,/,1.0,/,/,/,/,/,/,/,/
左滑移门防侧撞梁总成,/,/,1.0,/,/,/,/,/,/,/,/
左滑移门安全件加强板总成,/,/,1.0,/,/,/,/,/,/,/,/
左后门后部上空腔隔断,/,/,1.0,/,/,/,/,/,/,/,/
左后门后部下空腔隔断,/,/,1.0,/,/,/,/,/,/,/,/
左滑移门内板窗台加强梁,/,/,1.0,/,/,/,/,/,/,/,/
左滑移门侧中铰链加强板,/,/,1.0,/,/,/,/,/,/,/,/
左滑移门侧上铰链加强板总成,/,/,1.0,/,/,/,/,/,/,/,/
左滑移门玻璃导轨总成,/,/,1.0,/,/,/,/,/,/,/,/
膨胀胶片1,/,/,1.0,/,/,/,/,/,/,/,/
车身补强板3,/,/,1.0,/,/,/,/,/,/,/,/
六角平头铆螺母,/,/,14.0,/,/,/,/,/,/,/,/
右滑移门侧下铰链加强板带螺母板总成,/,/,1.0,/,/,/,/,/,/,/,/
右滑移门中铰链螺母板总成,/,/,1.0,/,/,/,/,/,/,/,/
右滑移门外板窗台加强梁,/,/,1.0,/,/,/,/,/,/,/,/
右滑移门外板加强梁,/,/,1.0,/,/,/,/,/,/,/,/
右滑移门防侧撞梁总成,/,/,1.0,/,/,/,/,/,/,/,/
右滑移门安全件加强板总成,/,/,1.0,/,/,/,/,/,/,/,/
右后门后部上空腔隔断,/,/,1.0,/,/,/,/,/,/,/,/
右后门后部下空腔隔断,/,/,1.0,/,/,/,/,/,/,/,/
右滑移门内板窗台加强梁,/,/,1.0,/,/,/,/,/,/,/,/
右滑移门侧中铰链加强板,/,/,1.0,/,/,/,/,/,/,/,/
右滑移门侧上铰链加强板总成,/,/,1.0,/,/,/,/,/,/,/,/
右滑移门玻璃导轨总成,/,/,1.0,/,/,/,/,/,/,/,/
膨胀胶片1,/,/,1.0,/,/,/,/,/,/,/,/
车身补强板3,/,/,1.0,/,/,/,/,/,/,/,/
六角平头铆螺母,/,/,14.0,/,/,/,/,/,/,/,/
左前轮罩后连接板总成,/,/,1.0,/,/,/,/,/,/,/,/
前机舱左封板总成,/,/,1.0,/,/,/,/,/,/,/,/
左前减震器座,/,/,1.0,/,/,/,/,/,/,/,/
左纵梁前段外板分总成,/,/,1.0,/,/,/,/,/,/,/,/
前减震器座补强板,/,/,1.0,/,/,/,/,/,/,/,/
左前减震器座,/,/,1.0,/,/,/,/,/,/,/,/
左前轮罩前连接板上板总成,/,/,1.0,/,/,/,/,/,/,/,/
右前轮罩前连接板上板总成,/,/,1.0,/,/,/,/,/,/,/,/
右前减震器座,/,/,1.0,/,/,/,/,/,/,/,/
右纵梁前段外板分总成,/,/,1.0,/,/,/,/,/,/,/,/
前机舱右封板总成,/,/,1.0,/,/,/,/,/,/,/,/
右前轮罩后连接板总成,/,/,1.0,/,/,/,/,/,/,/,/
右前减震器座,/,/,1.0,/,/,/,/,/,/,/,/
